"Points:0","Points:1","Points:2","U:0","U:1","U:2"
0.62147,0.050963,0.44644,-0.84114,0.021437,0.037487
0.4823,0.55656,0.052373,-0.094957,0.1969,-0.017605
0.4778,0.42221,0.17142,-0.20944,0.16286,-0.031732
0.47544,0.29055,0.30676,-0.38692,0.15296,-0.042534
0.47763,0.16423,0.44524,-0.57728,0.13528,-0.014756
0.48201,0.050878,0.58309,-0.74843,0.03977,-0.0024683
0.33896,0.68929,0.051276,-0.05171,0.3677,-0.0065842
0.33113,0.55497,0.17087,-0.11379,0.34512,-0.0077207
0.32643,0.41972,0.30812,-0.22481,0.33348,-0.031085
0.32627,0.28851,0.44589,-0.35297,0.28443,-0.01831
0.33057,0.16171,0.58271,-0.47355,0.18603,-0.0055605
0.33824,0.049284,0.71794,-0.59883,0.068812,-0.0062855
0.19396,0.82171,0.048846,0.029591,0.5514,-0.0045769
0.18057,0.68819,0.16883,-0.0019843,0.57491,0.0034182
0.17876,0.55277,0.30968,-0.055814,0.56688,-0.0041903
0.17814,0.41788,0.44789,-0.12675,0.515,0.0071095
0.17848,0.28639,0.58374,-0.1846,0.42136,0.011974
0.17997,0.15661,0.71808,-0.26416,0.25031,0.024459
0.19277,0.045712,0.85163,-0.34927,0.12264,0.016522
0.060826,0.95391,0.054723,-0.045955,0.69509,0.017985
0.052372,0.8213,0.17727,-0.017268,0.73614,0.010469
0.053042,0.68764,0.31355,-0.062034,0.73752,0.0033894
0.053526,0.55341,0.4499,-0.090058,0.72866,0.048725
0.053496,0.42019,0.58492,-0.10527,0.65752,0.075014
0.052943,0.28925,0.71866,-0.10976,0.50009,0.074575
0.052111,0.16157,0.85179,-0.16527,0.27995,0.040016
0.060136,0.049358,0.98477,-0.13373,0.142,0.029939
1.1566,0.048855,0.052559,-0.50757,-0.2954,0.12263
1.0239,0.16121,0.048017,-0.3325,-0.35714,0.011905
1.0239,0.045704,0.17204,-0.70449,-0.15668,0.21454
0.89089,0.29093,0.051058,-0.25776,-0.2491,-0.045613
0.89059,0.15782,0.16593,-0.54492,-0.069806,-0.0042769
0.89092,0.049527,0.30827,-0.81178,-0.054011,0.12471
0.75696,0.4238,0.052364,-0.15863,-0.047761,-0.037628
0.7556,0.29062,0.1698,-0.34962,-0.084112,-0.064381
0.75563,0.16362,0.3058,-0.58579,0.023684,-0.027606
0.75697,0.051212,0.44638,-0.84577,-0.0046364,0.049731
0.62115,0.55683,0.052702,-0.072991,0.056618,-0.014607
0.61802,0.42331,0.17172,-0.19876,0.027148,-0.043586
0.61627,0.29282,0.3064,-0.39191,0.039721,-0.054459
0.61797,0.16625,0.44482,-0.59893,0.080791,-0.022609
0.62105,0.051587,0.58295,-0.8102,0.0098212,0.0010683
0.48205,0.68942,0.052456,-0.020499,0.19029,-0.0067009
0.47672,0.55588,0.17204,-0.097269,0.16492,-0.017299
0.47227,0.42267,0.30727,-0.22209,0.17344,-0.041568
0.47218,0.29312,0.4445,-0.38433,0.1599,-0.034679
0.47644,0.16597,0.58197,-0.54611,0.12853,-0.016586
0.48172,0.051161,0.71777,-0.72001,0.029059,-0.011135
0.33885,0.82173,0.051276,-0.029693,0.36587,-0.00075793
0.33059,0.68855,0.17091,-0.043607,0.35591,0.0023873
0.32492,0.55425,0.30818,-0.12036,0.35518,-0.023912
0.32251,0.42106,0.44566,-0.22209,0.33904,-0.024329
0.32468,0.29123,0.58211,-0.32528,0.28144,-0.014798
0.33003,0.16312,0.71741,-0.44136,0.18105,-0.0057745
0.33814,0.0495,0.85151,-0.59763,0.063165,-0.0064264
0.19392,0.9539,0.048838,0.031432,0.54692,-0.0013344
0.18044,0.82127,0.16877,0.015675,0.57211,0.0080635
0.17839,0.68759,0.30953,-0.017244,0.57193,-0.0010876
0.17755,0.55355,0.4476,-0.049151,0.56496,0.0049658
0.17748,0.42067,0.58346,-0.10641,0.51305,0.007453
0.17815,0.28931,0.71787,-0.16244,0.41985,0.019782
0.17986,0.15786,0.8515,-0.24082,0.23986,0.020498
0.19277,0.045888,0.98471,-0.38252,0.12382,0.012386
0.060822,1.086,0.054721,-0.038047,0.67887,0.019336
0.052358,0.95377,0.17724,-0.0060848,0.72654,0.017566
0.053006,0.82113,0.31344,-0.039662,0.74323,0.006996
0.053481,0.68807,0.44973,-0.060919,0.75291,0.047064
0.05356,0.55506,0.58475,-0.072471,0.72022,0.069154
0.053447,0.42263,0.71856,-0.07924,0.63425,0.069524
0.052913,0.29114,0.85176,-0.11697,0.51788,0.047604
0.052107,0.16232,0.98476,-0.14631,0.24122,0.031205
0.060142,0.049462,1.1177,-0.25938,0.1154,0.008052
1.2891,0.048857,0.052559,-0.25338,-0.3037,0.12867
1.1566,0.16122,0.048016,-0.12956,-0.49177,0.028714
1.1566,0.045711,0.17204,-0.5063,-0.18433,0.24813
1.0238,0.29099,0.051057,-0.070306,-0.53679,-0.019966
1.0237,0.15789,0.16593,-0.42017,-0.17699,0.037225
1.0238,0.049551,0.30826,-0.7074,-0.084689,0.15749
0.89073,0.42392,0.052373,-0.070052,-0.26568,-0.026878
0.8899,0.2909,0.16979,-0.28612,-0.19762,-0.068266
0.88992,0.16388,0.30576,-0.54783,-0.021762,-0.020897
