"Points:0","Points:1","Points:2","U:0","U:1","U:2"
6.6799,2.3912,0.44753,-0.003163,-0.009842,0.048474
6.5537,2.528,0.4496,-0.0065545,-0.023041,0.061663
7.2713,2.0546,0.31106,-0.022688,-0.023856,0.010594
7.1273,2.1612,0.30639,-0.0041423,-0.016734,0.026942
6.9789,2.2794,0.30655,-0.010902,-0.020404,0.02767
6.8273,2.4009,0.30781,-0.015368,-0.015635,0.032622
6.6786,2.5309,0.30919,-0.013138,-0.017321,0.041841
6.553,2.6663,0.31297,-0.01384,-0.025892,0.05625
7.4158,2.0506,0.18249,0.14436,-0.044179,0.01143
7.2635,2.1522,0.16816,-0.0018423,-0.053886,0.003972
7.1191,2.276,0.17004,-0.017339,-0.04033,0.019517
6.9755,2.4048,0.17138,-0.032877,-0.033525,0.017924
6.8288,2.5355,0.17083,-0.039222,-0.025289,0.022198
6.679,2.6679,0.16859,-0.030356,-0.019846,0.030046
6.5518,2.8011,0.1768,-0.0228,-0.023458,0.038606
7.5413,2.025,0.056773,0.12006,-0.28427,-0.0007189
7.3935,2.1317,0.050687,0.089764,0.00023382,-0.0082062
7.2538,2.2681,0.051437,-0.051573,-0.088121,0.0038159
7.1167,2.4034,0.052348,-0.066068,-0.060407,0.004061
6.9775,2.5369,0.052382,-0.081907,-0.046959,0.0044439
6.835,2.6694,0.051365,-0.082774,-0.029963,0.007926
6.6911,2.8017,0.048936,-0.061351,-0.014803,0.016285
6.5596,2.9339,0.054631,-0.036524,-0.019505,0.021462
6.5992,2.0153,1.1177,0.0046678,0.00073063,0.043262
6.7162,2.0321,0.98469,0.0063159,0.0020268,0.050544
6.5582,2.0943,0.98474,0.0021788,0.0016459,0.060824
6.8525,2.0449,0.85145,0.00037693,0.0025981,0.051295
6.6927,2.1247,0.85142,0.004456,0.0026682,0.054788
6.5548,2.2389,0.85172,0.0023398,-0.0037621,0.066153
6.9913,2.0503,0.71767,-0.0076777,0.00016018,0.047236
6.8422,2.1495,0.71722,0.0037927,0.00242,0.04844
6.6838,2.253,0.71772,0.0046233,-0.0015844,0.054638
6.5542,2.3848,0.71849,0.00094393,-0.0091789,0.065956
7.1318,2.0535,0.58307,-0.01366,-0.0081624,0.044255
6.9868,2.1617,0.58179,0.0027598,-0.0029245,0.039212
