"Points:0","Points:1","Points:2","U:0","U:1","U:2"
0.48234,0.55656,0.052391,-0.069934,0.19168,-0.017178
0.47789,0.42222,0.17144,-0.1939,0.15483,-0.033737
0.47552,0.29056,0.30675,-0.37589,0.14542,-0.043036
0.47768,0.16423,0.44524,-0.57253,0.13478,-0.011088
0.48202,0.050879,0.58308,-0.7518,0.042005,0.0080365
0.33917,0.68929,0.051392,-0.039552,0.35958,-0.0096601
0.33141,0.55497,0.17094,-0.099556,0.33729,-0.013382
0.32659,0.41973,0.30808,-0.21636,0.32712,-0.035658
0.32636,0.28851,0.44586,-0.35166,0.28308,-0.021535
0.33065,0.16171,0.5827,-0.47861,0.18881,-0.0043886
0.33828,0.049292,0.71794,-0.60179,0.072152,-0.0035742
0.19393,0.82171,0.048993,0.045735,0.54766,-0.0090238
0.18074,0.6882,0.16879,0.0057598,0.56417,-0.0070636
0.17896,0.55279,0.30949,-0.049989,0.55928,-0.013778
0.17822,0.41788,0.44784,-0.12258,0.51338,-0.0026239
0.17854,0.28638,0.58372,-0.18613,0.42541,0.003891
0.18,0.15661,0.71808,-0.26848,0.2533,0.020399
0.19278,0.045716,0.85163,-0.34694,0.12666,0.013025
0.060639,0.95391,0.054768,-0.043203,0.68835,0.01601
0.05229,0.8213,0.17715,-0.012225,0.73195,-0.0034336
0.053171,0.68764,0.31335,-0.058991,0.73229,-0.011981
0.053556,0.55341,0.44987,-0.093252,0.72545,0.027839
0.053508,0.42019,0.58491,-0.11111,0.65749,0.056615
0.05296,0.28924,0.71866,-0.11396,0.50584,0.066164
0.052092,0.16157,0.85179,-0.16397,0.28369,0.035802
0.060105,0.049356,0.98477,-0.12757,0.14244,0.010574
1.1566,0.048855,0.052559,-0.47865,-0.31198,0.12829
1.0239,0.16121,0.048017,-0.31054,-0.38009,0.015081
1.0239,0.045704,0.17204,-0.68997,-0.16856,0.22556
0.8909,0.29093,0.051058,-0.23816,-0.26626,-0.04157
0.89059,0.15782,0.16593,-0.5303,-0.078964,-0.00087675
0.89092,0.049527,0.30827,-0.8016,-0.063333,0.13769
0.75696,0.4238,0.052365,-0.14047,-0.057908,-0.035088
0.75561,0.29062,0.1698,-0.3351,-0.093284,-0.062403
0.75564,0.16362,0.3058,-0.57165,0.016059,-0.022666
0.75697,0.051212,0.44638,-0.84081,-0.0076692,0.068262
0.62116,0.55683,0.052706,-0.053909,0.05331,-0.013421
0.61805,0.42331,0.17172,-0.18486,0.019782,-0.043666
0.61631,0.29282,0.3064,-0.3808,0.031608,-0.053061
0.61799,0.16625,0.44482,-0.59263,0.079613,-0.018216
0.62106,0.051587,0.58295,-0.81169,0.011771,0.013123
0.48211,0.68942,0.05248,-0.0062983,0.18519,-0.0078915
0.47684,0.55588,0.17206,-0.083357,0.15855,-0.01919
0.47237,0.42267,0.30726,-0.21252,0.16667,-0.043193
0.47225,0.29312,0.44449,-0.3796,0.1573,-0.035716
0.47648,0.16598,0.58196,-0.54828,0.13176,-0.014504
0.48174,0.051163,0.71777,-0.7233,0.033492,-0.0065829
0.33906,0.82173,0.051399,-0.000841,0.36375,-0.0030687
0.33093,0.68855,0.17101,-0.032029,0.34964,-0.0030729
0.32511,0.55426,0.30814,-0.11313,0.34905,-0.02912
0.32261,0.42106,0.44562,-0.2208,0.337,-0.029573
0.32475,0.29123,0.5821,-0.3296,0.28431,-0.017589
0.33011,0.16313,0.7174,-0.44714,0.18522,-0.0065637
0.33818,0.049509,0.85151,-0.59911,0.067523,-0.0080682
0.1939,0.9539,0.048986,0.055711,0.53793,-0.0052895
0.18062,0.82127,0.16872,0.02462,0.56341,-0.002643
0.17866,0.6876,0.30929,-0.013337,0.56335,-0.011288
0.17764,0.55355,0.44753,-0.046229,0.56188,-0.006787
0.17752,0.42067,0.58344,-0.10991,0.51543,-0.0025439
0.1782,0.2893,0.71787,-0.16852,0.4245,0.01283
0.17989,0.15786,0.8515,-0.2417,0.2439,0.016465
0.19278,0.045892,0.98471,-0.3835,0.12781,0.0080659
0.060636,1.086,0.054766,-0.035807,0.66994,0.017527
0.052277,0.95377,0.17712,-0.0019612,0.72023,0.0021068
0.053141,0.82114,0.31323,-0.036126,0.73807,-0.0083714
0.053518,0.68807,0.44969,-0.06279,0.75028,0.026567
0.053572,0.55506,0.58474,-0.07702,0.71971,0.049712
0.053455,0.42262,0.71856,-0.08327,0.63995,0.058569
0.052929,0.29114,0.85176,-0.11713,0.52529,0.042169
0.052087,0.16231,0.98476,-0.14837,0.23141,0.019043
0.060111,0.049459,1.1177,-0.25074,0.11508,0.0016149
1.2891,0.048857,0.052559,-0.21729,-0.31797,0.13616
1.1566,0.16122,0.048016,-0.10419,-0.51551,0.030764
1.1566,0.045711,0.17204,-0.47277,-0.19608,0.25916
1.0238,0.29099,0.051057,-0.047772,-0.5681,-0.016393
1.0237,0.15789,0.16593,-0.40043,-0.19295,0.042529
1.0238,0.049551,0.30826,-0.69176,-0.096056,0.17183
0.89074,0.42392,0.052373,-0.049825,-0.29042,-0.021995
0.88991,0.2909,0.16979,-0.2699,-0.21211,-0.064814
0.88992,0.16388,0.30576,-0.53471,-0.029371,-0.015121
0.89074,0.051292,0.44637,-0.78773,-0.039413,0.085595
0.75678,0.55697,0.052774,0.0067868,-0.10953,-0.010268
0.75472,0.42382,0.17177,-0.14405,-0.11646,-0.053012
0.75352,0.29376,0.30625,-0.35025,-0.06977,-0.058157
0.7547,0.167,0.44465,-0.56911,0.026617,-0.018464
0.75675,0.051812,0.58291,-0.81107,-0.016086,0.021054
0.62101,0.68952,0.052808,0.031401,0.011999,0.0056443
0.61723,0.55643,0.17242,-0.052498,-0.011325,-0.02034
0.61384,0.42426,0.30692,-0.19921,0.02185,-0.047996
0.61378,0.29542,0.44385,-0.38368,0.042111,-0.042632
0.61708,0.16774,0.58162,-0.56883,0.073717,-0.018235
0.62087,0.051804,0.7177,-0.78405,6.239e-05,-0.0057982
0.48202,0.82176,0.0525,0.047763,0.15715,0.00089286
0.47632,0.68887,0.17223,-0.0095256,0.149,-0.0065225
0.47055,0.5556,0.30749,-0.094344,0.15863,-0.030528
0.46786,0.42393,0.44409,-0.21851,0.174,-0.039126
0.47032,0.295,0.58098,-0.36568,0.15775,-0.02946
0.47588,0.16684,0.71696,-0.52256,0.1242,-0.014959
0.48163,0.051285,0.85143,-0.7116,0.027435,-0.013355
0.33902,0.95389,0.051399,0.021395,0.34744,0.00056236
0.33072,0.82131,0.17101,0.012621,0.34493,0.0035923
0.32438,0.68796,0.30811,-0.037777,0.35314,-0.018328
0.32057,0.55463,0.44544,-0.11603,0.35669,-0.027249
0.32046,0.42289,0.58172,-0.20685,0.34006,-0.024834
0.32394,0.29304,0.71689,-0.3073,0.28038,-0.013811
0.32988,0.16384,0.85117,-0.43911,0.18007,-0.0067966
0.33815,0.049605,0.98466,-0.59185,0.065169,-0.011192
0.19389,1.086,0.048984,0.058365,0.51203,-0.0016869
0.18057,0.9537,0.1687,0.042954,0.54909,0.0024241
