Points:0,Points:1,Points:2,U:0,U:1,U:2
4.8519,0.75758,0.081018,2.41945e-06,2.2974e-06,3.87835e-08
5.0516,0.96616,0.080351,2.2404e-06,3.88015e-06,4.26885e-08
5.2484,1.1679,0.079609,5.5275e-07,5.376e-06,-7.227e-08
5.4228,1.3659,0.092665,6.793e-07,6.4735e-06,-2.4446e-07
5.4757,0.16866,1.5499,-1.69285e-07,5.42e-07,3.0973e-06
5.3469,0.094062,1.3501,1.02025e-06,6.5015e-07,-5.799e-09
5.4502,0.35796,1.3498,-2.5324e-08,4.49975e-06,2.2869e-11
5.1154,0.08428,1.1497,1.53205e-06,6.073e-07,-1.4298e-07
5.3033,0.3085,1.1481,7.335e-07,8.5645e-07,-1.53045e-07
5.4317,0.56592,1.1482,3.20575e-07,1.91145e-06,2.52195e-07
4.888,0.082003,0.94704,2.3903e-06,4.63135e-07,5.0475e-09
5.0986,0.28494,0.94288,2.17455e-06,4.85105e-07,-3.71445e-08
5.2699,0.54036,0.94074,-1.5079e-08,1.9899e-06,-9.2055e-08
5.425,0.76983,0.9434,3.74895e-07,3.6562e-06,-6.543e-08
4.6681,0.08138,0.73968,3.0367e-06,5.5705e-07,-3.0961e-08
4.8813,0.27625,0.73129,2.47595e-06,6.9265e-07,-6.943e-08
5.0751,0.51808,0.72437,2.0894e-06,2.13555e-06,-6.502e-08
5.2555,0.75736,0.72614,9.3155e-07,3.1886e-06,-1.6932e-08
5.4235,0.97028,0.73327,6.71e-07,3.91365e-06,-3.86175e-08
4.4576,0.081553,0.5255,3.729e-06,3.73945e-07,6.559e-08
4.6645,0.27735,0.51007,3.4036e-06,4.88185e-07,4.52375e-08
4.8668,0.51144,0.49894,2.5499e-06,1.7596e-06,-1.9502e-08
5.0605,0.74628,0.49648,2.24525e-06,3.0169e-06,4.16285e-09
5.253,0.96485,0.50347,8.325e-07,4.49e-06,-1.4199e-07
5.425,1.1686,0.51631,6.802e-07,5.378e-06,-2.04095e-07
4.254,0.082824,0.30503,4.0618e-06,3.43755e-07,-5.229e-08
4.455,0.28606,0.27966,3.742e-06,4.80225e-07,-5.69e-09
4.6559,0.5221,0.27311,3.525e-06,1.75355e-06,-1.63985e-08
4.8557,0.74754,0.27059,2.96575e-06,2.64565e-06,-1.9135e-08
5.0554,0.96182,0.27109,2.74755e-06,4.1008e-06,3.9647e-08
5.2573,1.1668,0.27462,1.1987e-06,5.6135e-06,-1.47635e-07
5.4295,1.3657,0.29569,9.227e-07,6.4715e-06,-2.46295e-07
4.0543,0.10028,0.096764,4.302e-06,2.24695e-07,5.076e-08
4.2529,0.31466,0.081299,4.0093e-06,2.24225e-07,2.9059e-08
4.4518,0.53937,0.080846,3.8131e-06,1.28715e-06,1.91115e-08
4.6511,0.75619,0.081068,3.5777e-06,2.0446e-06,7.894e-08
4.8509,0.96467,0.080923,2.8679e-06,3.43135e-06,7.238e-08
5.0508,1.1668,0.080259,2.68345e-06,4.9939e-06,1.24405e-07
5.248,1.3654,0.079577,8.078e-07,6.781e-06,-8.4015e-08
5.4227,1.5624,0.092656,8.6605e-07,7.9985e-06,-3.3645e-07
5.4756,0.1687,1.7501,-1.796e-07,5.7715e-07,-3.0588e-06
5.3469,0.094062,1.5499,-5.4855e-07,1.25615e-07,-2.24335e-07
5.4502,0.35796,1.5502,1.8078e-07,1.63775e-06,5.306e-08
5.1156,0.084229,1.35,2.04165e-06,5.1045e-07,1.44775e-08
